year_ce,n_records,n_scars,percent_scarred
1700,1,0,0
1701,1,0,0
1702,1,0,0
1703,1,0,0
1704,1,0,0
1705,1,0,0
1706,1,0,0
1707,1,0,0
1708,1,0,0
1709,1,0,0
1710,1,0,0
1711,1,0,0
1712,1,0,0
1713,1,0,0
1714,1,0,0
1715,1,0,0
1716,1,0,0
1717,1,0,0
1718,1,0,0
1719,1,0,0
1720,1,0,0
1721,1,0,0
1722,1,0,0
1723,1,0,0
1724,1,0,0
1725,3,2,67
1726,3,1,33
1727,3,0,0
1728,3,0,0
1729,3,0,0
1730,3,0,0
1731,3,0,0
1732,3,0,0
1733,3,0,0
1734,3,0,0
1735,3,0,0
1736,6,3,50
1737,6,0,0
1738,6,0,0
1739,6,0,0
1740,6,0,0
1741,6,0,0
1742,6,0,0
1743,6,1,17
1744,6,0,0
1745,7,1,14
1746,7,0,0
1747,8,1,12
1748,9,2,22
1749,11,3,27
1750,11,0,0
1751,11,0,0
1752,12,1,8
1753,12,0,0
1754,12,0,0
1755,12,0,0
1756,12,0,0
1757,12,0,0
1758,12,0,0
1759,13,1,8
1760,17,5,29
1761,17,0,0
1762,17,0,0
1763,17,1,6
1764,17,0,0
1765,17,0,0
1766,17,1,6
1767,17,0,0
1768,17,0,0
1769,17,0,0
1770,17,0,0
1771,17,0,0
1772,18,1,6
1773,18,0,0
1774,18,1,6
1775,18,3,17
1776,18,0,0
1777,19,2,11
1778,19,2,11
1779,19,0,0
1780,19,0,0
1781,19,0,0
1782,19,0,0
1783,19,0,0
1784,19,1,5
1785,20,2,10
1786,20,0,0
1787,20,0,0
1788,20,1,5
1789,20,0,0
1790,20,0,0
1791,22,2,9
1792,24,2,8
1793,24,0,0
1794,24,3,12
1795,24,1,4
1796,24,1,4
1797,24,0,0
1798,25,1,4
1799,25,0,0
1800,25,0,0
1801,25,0,0
1802,25,2,8
1803,25,0,0
1804,26,2,8
1805,27,1,4
1806,27,0,0
1807,27,0,0
1808,27,0,0
1809,27,0,0
1810,30,3,10
1811,30,0,0
1812,30,0,0
1813,30,0,0
1814,30,0,0
1815,30,1,3
1816,30,0,0
1817,30,0,0
1818,30,0,0
1819,30,1,3
1820,31,2,6
1821,32,2,6
1822,32,2,6
1823,32,0,0
1824,32,0,0
1825,33,1,3
1826,38,6,16
1827,38,0,0
1828,38,0,0
1829,38,1,3
1830,38,0,0
1831,38,0,0
1832,39,1,3
1833,39,1,3
1834,39,0,0
1835,39,0,0
1836,39,0,0
1837,39,0,0
1838,39,0,0
1839,39,0,0
1840,39,0,0
1841,39,0,0
1842,39,0,0
1843,39,2,5
1844,39,1,3
1845,39,0,0
1846,40,2,5
1847,41,2,5
1848,41,1,2
1849,41,1,2
1850,41,0,0
1851,41,0,0
1852,42,1,2
1853,42,0,0
1854,48,11,23
1855,48,0,0
1856,48,0,0
1857,48,2,4
1858,48,0,0
1859,48,0,0
1860,48,0,0
1861,49,1,2
1862,49,0,0
1863,49,1,2
1864,49,0,0
1865,49,0,0
1866,49,1,2
1867,49,1,2
1868,51,6,12
1869,51,1,2
1870,51,0,0
1871,51,2,4
1872,51,2,4
1873,51,1,2
1874,51,0,0
1875,51,2,4
1876,53,2,4
1877,53,0,0
1878,53,1,2
1879,53,2,4
1880,53,2,4
1881,55,3,5
1882,60,7,12
1883,60,0,0
1884,61,2,3
1885,61,0,0
1886,61,0,0
1887,61,0,0
1888,61,0,0
1889,61,0,0
1890,61,0,0
1891,61,1,2
1892,61,2,3
1893,61,1,2
1894,61,7,11
1895,61,2,3
1896,60,0,0
1897,61,1,2
1898,61,0,0
1899,61,0,0
1900,61,1,2
1901,61,1,2
1902,61,0,0
1903,61,0,0
1904,61,0,0
1905,61,0,0
1906,61,1,2
1907,61,0,0
1908,61,0,0
1909,61,0,0
1910,61,1,2
1911,61,0,0
1912,61,0,0
1913,61,0,0
1914,61,2,3
1915,61,0,0
1916,62,5,8
1917,67,12,18
1918,67,0,0
1919,67,0,0
1920,68,2,3
1921,68,2,3
1922,93,40,43
1923,93,0,0
1924,93,0,0
1925,93,0,0
1926,93,0,0
1927,93,0,0
1928,93,0,0
1929,93,0,0
1930,93,0,0
1931,93,0,0
1932,93,0,0
1933,93,0,0
1934,93,0,0
1935,93,0,0
1936,93,0,0
1937,93,0,0
1938,93,0,0
1939,92,0,0
1940,92,0,0
1941,100,29,29
1942,101,1,1
1943,101,0,0
1944,102,1,1
1945,102,3,3
1946,102,0,0
1947,103,2,2
1948,102,0,0
1949,102,0,0
1950,102,1,1
1951,102,0,0
1952,102,0,0
1953,102,1,1
1954,102,0,0
1955,105,7,7
1956,105,1,1
1957,105,1,1
1958,105,0,0
1959,105,0,0
1960,105,0,0
1961,105,0,0
1962,105,0,0
1963,105,1,1
1964,105,1,1
1965,105,0,0
1966,105,0,0
1967,105,1,1
1968,105,0,0
1969,105,0,0
1970,105,0,0
1971,105,2,2
1972,106,18,17
1973,105,1,1
1974,105,0,0
1975,107,2,2
1976,108,1,1
1977,106,0,0
1978,106,0,0
1979,106,0,0
1980,106,0,0
1981,106,0,0
1982,105,0,0
1983,105,0,0
1984,105,0,0
1985,100,1,1
1986,98,0,0
1987,97,0,0
1988,96,0,0
1989,96,27,28
1990,95,0,0
1991,95,0,0
1992,95,0,0
1993,95,0,0
1994,95,0,0
1995,95,0,0
1996,94,0,0
1997,94,0,0
1998,94,1,1
1999,94,0,0
2000,94,0,0
2001,94,0,0
2002,98,5,5
2003,98,0,0
2004,97,0,0
2005,97,0,0
2006,87,0,0
2007,76,0,0
2008,17,0,0
2009,16,0,0
2010,16,0,0
2011,15,0,0
2012,15,0,0
2013,15,0,0
2014,2,0,0